author_name,review_rating,review_text,review_time
Toàn Huỳnh,5,"Chi nhánh này có không gian cũng rộng rãi, decor cũng đẹp, nằm ngay tại ngã tư Lê Duẩn - Mạc Đỉnh Chi. Đồ uống tại đây cũng ổn, nhân viên thân thiện.

Bãi xe ở đây thì nhỏ, nên rất dễ khó dắt khi đông khách nhưng luôn có các anh bảo vệ hỗ trợ dắt xe nên cũng yên tâm.",2025-11-25T09:09:59.728Z
Patrick Kosellek,5,"Nice and not to small Highlands, many comfortable chairs, best is you have an ice cream machine to add on top of your coffee ☕",2025-11-24T09:54:03.449Z
Rannie Le,1,"Nước pha dở hơn các chi nhánh khác nhiều . Thái độ phục vụ cũng tệ nữa , báo sẽ bưng nước ra cho khách . Mà để trên quầy nước tan gần nửa ly , khách lại hỏi thì chỉ nước trên bàn .",2025-11-24T08:59:49.135Z
Nguyễn Văn Cường,5,No text review,2025-11-24T05:00:20.590Z
Khon Bui,5,No text review,2025-11-21T08:53:20.850Z
Nguyễn Thị Ngọc Thơ,5,"rcm cà phê sữa nha, chi nhánh làm cf sữa ngon nhất mình từng uống, đậm đà lắm ạ, bạn nvien nữ cao cao dễ thương vô cùng ⭐️⭐️⭐️⭐️⭐️",2025-11-26T07:47:59.872Z
Toàn Huỳnh,5,Vị trí tại tầng B3 của Vincom Đồng Khởi. Quán rộng. Nhân viên nhiệt tình. Đồ uống ngon.,2025-11-21T04:35:57.447Z
Lisa Sahari,2,No text review,2025-11-19T04:11:50.390Z
Trần Quốc Phúc An,5,No text review,2025-11-18T07:28:11.989Z
Jenny Pham,1,"Quán có 2 lines để order, nhân viên làm việc kiểu gì mà khách hàng đứng xếp hàng cả buổi mà không nói cho khách hàng biết là chỉ nhận order 1 bên thôi. Mình chờ hoài mà chỉ toàn thấy 2 nhân viên nói chuyện với nhau, ko thèm ngó đến khách. Đến khi mình thấy bên cạnh đã phục vụ khách xong, lịch sự hỏi mình order được không thì yêu cầu mình xếp hàng trong khi mình đâu phải không khí mà không thấy mình đứng chờ rất lâu. Càng ngày Highlands phục vụ càng tệ.",2025-11-16T13:05:58.180Z
Bảo Khánh,5,"Mì cua, pizza và salad ngon, không gian thoáng mát, nhân viên nhanh nhẹn nhiệt tình",2025-11-26T17:08:59.909Z
DUC TUAN NGUYEN,5,No text review,2025-11-26T10:27:31.092Z
33 - Hồng Thắm,5,Tuyệt dời,2025-11-26T08:49:32.550Z
Ching Chong,5,No text review,2025-11-26T01:24:13.082Z
Justin Doan,5,"Delicious, nice and friendly",2025-11-25T14:05:24.151Z
Anh Tran,5,The salad was awesome as well as the crab pasta. Would recommend to others and come back again <3,2025-11-26T14:46:40.097Z
My Nhi Lam,5,No text review,2025-11-26T14:23:08.022Z
